,demand
1159,0.224
1160,0.231
1161,0.22752
1162,0.231
1163,0.22752
1164,0.238
1165,0.24852000000000002
1166,0.245
1167,0.24152
1168,0.22752
1169,0.231
1170,0.22752
1171,0.22752
1172,0.238
1173,0.24852000000000002
1174,0.245
1175,0.252
1176,0.252
1177,0.24852000000000002
1178,0.252
1179,0.252
1180,0.24852000000000002
1181,0.24852000000000002
1182,0.252
1183,0.252
1184,0.24852000000000002
1185,0.245
1186,0.252
1187,0.252
1188,0.24852000000000002
1189,0.24152
1190,0.245
1191,0.252
1192,0.245
1193,0.252
1194,0.24852000000000002
1195,0.24852000000000002
1196,0.23452
1197,0.23452
1198,0.24152
1199,0.231
1200,0.23452
1201,0.238
1202,0.245
1203,0.24152
1204,0.259
1205,0.252
1206,0.25552
1207,0.259
1208,0.259
1209,0.266
1210,0.25552
1211,0.252
1212,0.252
1213,0.25552
1214,0.266
1215,0.259
1216,0.24852000000000002
1217,0.252
1218,0.24152
1219,0.24152
1220,0.24852000000000002
1221,0.238
1222,0.231
1223,0.23452
1224,0.24152
1225,0.24852000000000002
1226,0.24852000000000002
1227,0.245
1228,0.245
1229,0.252
1230,0.245
1231,0.245
1232,0.252
1233,0.245
1234,0.245
1235,0.245
1236,0.22748
1237,0.231
1238,0.23452
1239,0.23452
1240,0.24152
1241,0.245
1242,0.24852000000000002
1243,0.24852000000000002
1244,0.26252
1245,0.259
1246,0.273
1247,0.266
1248,0.26252
1249,0.259
1250,0.266
1251,0.266
1252,0.24152
1253,0.238
1254,0.24152
1255,0.24152
1256,0.24152
1257,0.238
1258,0.245
1259,0.24852000000000002
1260,0.252
1261,0.25552
1262,0.259
1263,0.25552
1264,0.24152
1265,0.24152
1266,0.24152
1267,0.238
1268,0.29752
1269,0.315
1270,0.301
1271,0.308
1272,0.364
1273,0.39552
1274,0.406
1275,0.434
1276,0.46552
1277,0.48652
1278,0.546
1279,0.609
1280,0.64052
1281,0.651
1282,0.70352
1283,0.672
1284,0.67552
1285,0.68252
1286,0.658
1287,0.665
1288,0.672
1289,0.68252
1290,0.66852
1291,0.64752
1292,0.595
1293,0.567
1294,0.532
1295,0.52152
1296,0.49
1297,0.47952
1298,0.532
1299,0.50752
1300,0.518
1301,0.532
1302,0.518
1303,0.52152
1304,0.546
1305,0.52152
1306,0.52152
1307,0.51452
1308,0.497
1309,0.497
1310,0.46552
1311,0.427
1312,0.36751999999999996
1313,0.336
1314,0.35
1315,0.357
1316,0.37451999999999996
1317,0.357
1318,0.35
1319,0.33952
1320,0.35
1321,0.31851999999999997
1322,0.36751999999999996
1323,0.364
1324,0.35352
1325,0.371
1326,0.37451999999999996
1327,0.33952
1328,0.385
1329,0.343
1330,0.34652
1331,0.30451999999999996
1332,0.259
1333,0.25552
1334,0.29052
1335,0.315
1336,0.33952
1337,0.301
1338,0.287
1339,0.27652
1340,0.29752
1341,0.294
1342,0.29052
1343,0.28
1344,0.273
1345,0.27652
1346,0.273
1347,0.25552
1348,0.24152
1349,0.23452
1350,0.24152
1351,0.224
1352,0.196
1353,0.196
1354,0.189
1355,0.19252
1356,0.203
1357,0.217
1358,0.21
1359,0.21352000000000002
1360,0.18552000000000002
1361,0.19252
1362,0.189
1363,0.19252
1364,0.252
1365,0.266
1366,0.259
1367,0.266
1368,0.343
1369,0.406
1370,0.40952
1371,0.42352
1372,0.47252
1373,0.55652
1374,0.66152
1375,0.679
1376,0.67552
1377,0.67552
1378,0.644
1379,0.64752
1380,0.651
1381,0.7
1382,0.672
1383,0.65452
1384,0.63352
1385,0.616
1386,0.616
1387,0.5915199999999999
1388,0.55652
1389,0.54252
1390,0.539
1391,0.511
1392,0.455
1393,0.43751999999999996
1394,0.455
1395,0.49351999999999996
1396,0.48652
1397,0.51452
1398,0.49351999999999996
1399,0.50052
1400,0.504
1401,0.497
1402,0.49
1403,0.49351999999999996
1404,0.48652
1405,0.42
1406,0.39552
1407,0.497
1408,0.43751999999999996
1409,0.427
1410,0.427
1411,0.40252
1412,0.427
1413,0.45152
1414,0.427
1415,0.36751999999999996
1416,0.38151999999999997
1417,0.40252
1418,0.40252
1419,0.40252
1420,0.40252
1421,0.43751999999999996
1422,0.40252
1423,0.413
1424,0.37451999999999996
1425,0.38852
1426,0.39552
1427,0.40952
1428,0.315
1429,0.29052
1430,0.35352
1431,0.34652
1432,0.35
1433,0.343
1434,0.33252
1435,0.33252
1436,0.36751999999999996
1437,0.37451999999999996
1438,0.36751999999999996
1439,0.371
1440,0.378
1441,0.36751999999999996
1442,0.343
1443,0.322
1444,0.30451999999999996
1445,0.301
1446,0.30451999999999996
1447,0.27652
1448,0.24852000000000002
1449,0.245
1450,0.24852000000000002
1451,0.245
1452,0.259
1453,0.266
1454,0.26952
1455,0.266
1456,0.24852000000000002
1457,0.245
1458,0.252
1459,0.259
1460,0.31151999999999996
1461,0.322
1462,0.322
1463,0.329
1464,0.38151999999999997
1465,0.399
1466,0.40252
1467,0.46552
1468,0.50752
1469,0.504
1470,0.50752
1471,0.54252
1472,0.525
1473,0.54952
1474,0.5845199999999999
1475,0.5845199999999999
1476,0.581
1477,0.637
1478,0.707
1479,0.686
1480,0.63
1481,0.64052
1482,0.637
1483,0.65452
1484,0.602
1485,0.567
1486,0.56352
1487,0.47252
1488,0.43751999999999996
1489,0.427
1490,0.455
1491,0.49
1492,0.518
1493,0.574
1494,0.567
1495,0.546
1496,0.52852
1497,0.483
1498,0.497
1499,0.476
1500,0.43051999999999996
1501,0.43051999999999996
1502,0.40952
1503,0.364
1504,0.322
1505,0.322
1506,0.34652
1507,0.364
1508,0.35
1509,0.322
1510,0.33252
1511,0.33252
1512,0.29752
1513,0.315
1514,0.364
1515,0.31851999999999997
1516,0.31151999999999996
1517,0.329
1518,0.37451999999999996
1519,0.336
1520,0.35
1521,0.343
1522,0.329
1523,0.287
1524,0.23452
1525,0.217
1526,0.266
1527,0.301
1528,0.28
1529,0.287
1530,0.266
1531,0.245
1532,0.25552
1533,0.27652
1534,0.28
1535,0.26952
1536,0.29052
1537,0.29752
1538,0.273
1539,0.24852000000000002
1540,0.22752
1541,0.224
1542,0.22052000000000002
1543,0.21
1544,0.182
1545,0.175
1546,0.17152
1547,0.17852
1548,0.189
1549,0.19252
1550,0.19252
1551,0.196
1552,0.17852
1553,0.17152
1554,0.175
1555,0.17152
1556,0.22052000000000002
1557,0.25552
1558,0.25552
1559,0.238
1560,0.273
1561,0.343
1562,0.518
1563,0.57052
1564,0.567
1565,0.57052
1566,0.60552
1567,0.62652
1568,0.644
1569,0.672
1570,0.69652
1571,0.728
1572,0.7105199999999999
1573,0.67552
1574,0.65452
1575,0.644
1576,0.595
1577,0.57752
1578,0.5985199999999999
1579,0.63
1580,0.658
1581,0.588
1582,0.609
1583,0.539
1584,0.476
1585,0.47952
1586,0.469
1587,0.462
1588,0.53552
1589,0.504
1590,0.539
1591,0.57052
1592,0.57052
1593,0.52152
1594,0.518
1595,0.476
1596,0.483
1597,0.47948
1598,0.45852
1599,0.399
1600,0.364
1601,0.357
1602,0.36052
1603,0.36751999999999996
1604,0.329
1605,0.336
1606,0.343
1607,0.34652
1608,0.32552
1609,0.308
1610,0.378
1611,0.399
1612,0.343
1613,0.35352
1614,0.38151999999999997
1615,0.36052
1616,0.36052
1617,0.378
1618,0.33952
1619,0.34652
1620,0.28
1621,0.259
1622,0.29752
1623,0.27652
1624,0.308
1625,0.294
1626,0.28352
1627,0.26952
1628,0.30451999999999996
1629,0.31851999999999997
1630,0.329
1631,0.31851999999999997
1632,0.29752
1633,0.29752
1634,0.273
1635,0.273
1636,0.24852000000000002
1637,0.23452
1638,0.24152
1639,0.22752
1640,0.19952
1641,0.189
1642,0.182
1643,0.18552000000000002
1644,0.21
1645,0.20652
1646,0.21
1647,0.21
1648,0.20652
1649,0.18552000000000002
1650,0.18552000000000002
1651,0.182
1652,0.24852000000000002
1653,0.27652
1654,0.273
1655,0.26952
1656,0.31151999999999996
1657,0.37451999999999996
1658,0.413
1659,0.45148
1660,0.45852
1661,0.50752
1662,0.532
1663,0.574
1664,0.5845199999999999
1665,0.602
1666,0.62652
1667,0.616
1668,0.63
1669,0.67552
1670,0.665
1671,0.64752
1672,0.609
1673,0.63352
1674,0.623
1675,0.623
1676,0.64752
1677,0.57752
1678,0.5845199999999999
1679,0.525
1680,0.45852
1681,0.518
1682,0.53552
1683,0.5985199999999999
1684,0.602
1685,0.644
1686,0.609
1687,0.57052
1688,0.54952
1689,0.602
1690,0.63352
1691,0.644
1692,0.637
1693,0.63352
1694,0.5985199999999999
1695,0.50752
1696,0.46552
1697,0.462
1698,0.448
1699,0.434
1700,0.40252
1701,0.406
1702,0.40952
1703,0.38151999999999997
1704,0.392
1705,0.39552
1706,0.399
1707,0.413
1708,0.427
1709,0.40952
1710,0.434
1711,0.40952
1712,0.371
1713,0.371
1714,0.39552
1715,0.413
1716,0.399
1717,0.35352
1718,0.371
1719,0.37451999999999996
1720,0.35
1721,0.31151999999999996
1722,0.315
1723,0.31151999999999996
1724,0.329
1725,0.31851999999999997
1726,0.31151999999999996
1727,0.301
1728,0.301
1729,0.301
1730,0.301
1731,0.30451999999999996
1732,0.28352
1733,0.27652
1734,0.28352
1735,0.273
1736,0.28352
1737,0.28
1738,0.28
1739,0.29052
1740,0.294
1741,0.294
1742,0.29052
1743,0.294
1744,0.28
1745,0.26252
1746,0.25552
1747,0.266
1748,0.30451999999999996
1749,0.31851999999999997
1750,0.31151999999999996
1751,0.315
1752,0.33252
1753,0.33252
1754,0.343
1755,0.33952
1756,0.343
1757,0.34652
1758,0.34652
1759,0.35
1760,0.35352
1761,0.36751999999999996
1762,0.364
1763,0.385
1764,0.38151999999999997
1765,0.41652
1766,0.434
1767,0.427
1768,0.413
1769,0.441
1770,0.448
1771,0.47952
1772,0.45852
1773,0.47948
1774,0.45152
1775,0.42352
1776,0.45152
1777,0.434
1778,0.42
1779,0.42352
1780,0.43751999999999996
1781,0.448
1782,0.462
1783,0.46552
1784,0.40952
1785,0.40952
1786,0.40952
1787,0.42
1788,0.385
1789,0.38151999999999997
1790,0.36052
1791,0.33952
1792,0.28352
1793,0.273
1794,0.266
1795,0.259
1796,0.24852000000000002
1797,0.24852000000000002
1798,0.24152
1799,0.245
1800,0.259
1801,0.25552
1802,0.259
1803,0.259
1804,0.259
1805,0.25552
1806,0.24852000000000002
1807,0.259
1808,0.252
1809,0.259
1810,0.24852000000000002
1811,0.24852000000000002
1812,0.245
1813,0.245
1814,0.24152
1815,0.238
1816,0.245
1817,0.24152
1818,0.24152
1819,0.24152
1820,0.259
1821,0.259
1822,0.25552
1823,0.252
1824,0.259
1825,0.252
1826,0.252
1827,0.25552
1828,0.238
1829,0.24152
1830,0.238
1831,0.23452
1832,0.231
1833,0.23452
1834,0.23452
1835,0.23452
1836,0.24852000000000002
1837,0.252
1838,0.24852000000000002
1839,0.252
1840,0.24152
1841,0.238
1842,0.238
1843,0.23452
1844,0.24152
1845,0.252
1846,0.24152
1847,0.245
1848,0.24852000000000002
1849,0.24852000000000002
1850,0.245
1851,0.23452
1852,0.24152
1853,0.238
1854,0.23452
1855,0.23452
1856,0.23452
1857,0.238
1858,0.23452
1859,0.23452
1860,0.238
1861,0.238
1862,0.245
1863,0.245
1864,0.245
1865,0.24852000000000002
1866,0.245
